Fecha Respuesta,NPS Recomendacion,Satisfaccion Soporte,Edad,Plan Actual,Funciones Favoritas,Comentarios
2025-10-01 22:16:19,8,5,60,Empresarial,"Reportes, Exportación, API",Demasiados bugs - ID:0
2025-01-11 01:14:45,2,3,38,Gratuito,"Usuarios, Reportes",Excelente servicio - ID:1
2024-12-09 14:52:26,0,5,43,Pro,"Usuarios, Ninguna",Precio justo - ID:2
2025-01-31 01:01:33,6,1,49,Pro,"API, Exportación",La interfaz es confusa - ID:3
2025-05-27 18:01:13,4,2,62,Pro,"API, Reportes",Demasiados bugs - ID:4
2025-05-05 05:00:13,10,1,24,Empresarial,"Usuarios, Ninguna, Dashboard",Demasiados bugs - ID:5
2025-05-28 06:51:57,10,3,36,Pro,"Usuarios, Dashboard",Precio justo - ID:6
2025-02-20 20:14:39,10,5,19,Empresarial,Dashboard,Precio justo - ID:7
2025-02-09 20:55:44,4,5,57,Empresarial,API,Precio justo - ID:8
2025-11-16 10:25:57,8,5,46,Básico,"Usuarios, Dashboard, Reportes",Muy rápido - ID:9
2024-12-25 02:14:21,5,2,64,Pro,"Ninguna, Exportación, Dashboard",Podría mejorar - ID:10
2025-08-11 00:15:27,7,4,58,Gratuito,API,Demasiados bugs - ID:11
2025-02-23 23:35:05,7,5,59,Gratuito,"Ninguna, API, Exportación",Me encanta el dashboard - ID:12
2025-03-14 22:02:12,6,4,30,Básico,"Reportes, Exportación",Demasiados bugs - ID:13
2025-04-09 20:19:26,5,4,31,Básico,"Ninguna, Dashboard",Demasiados bugs - ID:14
2025-08-25 09:44:02,10,3,54,Gratuito,"API, Exportación",Precio justo - ID:15
2025-10-09 19:54:27,9,5,37,Gratuito,"Reportes, API, Dashboard",Podría mejorar - ID:16
2025-07-27 22:50:59,10,2,60,Básico,Ninguna,Precio justo - ID:17
2025-09-12 00:13:00,9,3,27,Pro,Exportación,Precio justo - ID:18
2025-07-30 13:39:31,3,2,51,Empresarial,"Exportación, Usuarios, Reportes",Precio justo - ID:19
2025-08-10 04:14:28,8,5,40,Gratuito,"API, Usuarios",Me encanta el dashboard - ID:20
2025-06-04 09:03:10,10,3,59,Empresarial,"Exportación, Dashboard, Reportes",Precio justo - ID:21
2025-07-24 02:49:01,10,5,39,Gratuito,API,Me encanta el dashboard - ID:22
2025-02-07 02:43:03,2,2,37,Empresarial,"Exportación, Dashboard, Usuarios",Muy rápido - ID:23
2025-07-13 05:46:46,7,2,38,Gratuito,API,Me encanta el dashboard - ID:24
2025-09-18 12:56:14,9,3,32,Básico,"Dashboard, API, Reportes",Excelente servicio - ID:25
2025-07-28 08:52:49,8,5,57,Gratuito,"Dashboard, Reportes",Muy rápido - ID:26
2025-09-15 13:06:47,1,1,37,Básico,"Dashboard, Reportes, Exportación",Excelente servicio - ID:27
2025-08-22 03:48:56,6,4,44,Básico,"API, Usuarios, Ninguna",Me encanta el dashboard - ID:28
2025-03-16 16:42:57,5,2,65,Básico,"Reportes, Ninguna",Podría mejorar - ID:29
2025-08-19 08:01:09,9,2,57,Empresarial,Ninguna,La interfaz es confusa - ID:30
2025-07-11 22:54:26,8,2,55,Gratuito,"Exportación, Dashboard",Precio justo - ID:31
2025-06-30 03:00:26,7,1,42,Básico,"Dashboard, API, Reportes",La interfaz es confusa - ID:32
2025-05-31 05:01:30,3,1,36,Empresarial,"API, Usuarios, Ninguna",Muy rápido - ID:33
2025-06-02 18:50:24,10,3,65,Empresarial,"Dashboard, Reportes",Me encanta el dashboard - ID:34
2025-08-19 04:50:40,4,2,46,Pro,"Exportación, API",Precio justo - ID:35
2025-09-12 10:52:36,0,4,26,Pro,"Usuarios, API",Soporte lento - ID:36
2025-08-26 01:05:40,10,2,58,Gratuito,"Exportación, Ninguna, Reportes",Precio justo - ID:37
2025-03-18 06:02:40,1,1,43,Básico,"Dashboard, API, Exportación",Muy rápido - ID:38
2025-02-18 15:16:55,4,1,21,Básico,"Reportes, Usuarios",Demasiados bugs - ID:39
2025-11-13 17:54:38,3,5,24,Pro,"API, Usuarios",Excelente servicio - ID:40
2025-09-23 05:13:19,7,5,29,Empresarial,"Usuarios, Dashboard, API",Demasiados bugs - ID:41
2025-03-20 23:24:33,8,3,61,Gratuito,"Exportación, Usuarios, Ninguna",Precio justo - ID:42
2025-08-25 04:38:32,8,4,48,Pro,"Usuarios, Dashboard",Me encanta el dashboard - ID:43
2025-11-06 16:53:35,8,4,44,Pro,"Exportación, API",Muy rápido - ID:44
2025-03-12 14:45:53,8,1,53,Pro,Reportes,La interfaz es confusa - ID:45
2025-02-01 08:45:14,8,1,19,Básico,"Ninguna, Exportación",Demasiados bugs - ID:46
2025-01-23 21:19:49,10,3,63,Gratuito,"Reportes, API",Precio justo - ID:47
2025-04-11 19:11:56,5,4,40,Básico,"Exportación, Usuarios, API",Muy rápido - ID:48
2025-01-19 07:11:07,9,2,63,Empresarial,Reportes,Muy rápido - ID:49
2025-02-14 08:37:41,10,2,37,Empresarial,Ninguna,Muy rápido - ID:50
2025-02-01 14:42:26,10,3,43,Básico,"Usuarios, Exportación",Me encanta el dashboard - ID:51
2025-01-15 14:26:16,7,5,21,Empresarial,"Exportación, Dashboard, Ninguna",La interfaz es confusa - ID:52
2025-09-28 11:04:34,7,1,34,Básico,"Exportación, Usuarios",La interfaz es confusa - ID:53
2025-03-14 20:52:10,3,1,30,Gratuito,Usuarios,Demasiados bugs - ID:54
2025-05-19 06:58:15,10,3,53,Básico,"API, Ninguna, Dashboard",La interfaz es confusa - ID:55
2025-10-18 19:41:38,9,2,44,Pro,"Ninguna, Dashboard",Precio justo - ID:56
2025-10-10 16:53:16,10,2,64,Gratuito,Reportes,Excelente servicio - ID:57
2025-04-13 09:00:18,10,4,51,Pro,"Ninguna, Exportación, Reportes",Demasiados bugs - ID:58
2025-03-09 19:18:21,6,3,62,Gratuito,"Usuarios, Ninguna",La interfaz es confusa - ID:59
2025-06-29 12:53:36,10,3,61,Básico,"Ninguna, API",Excelente servicio - ID:60
2025-07-20 12:55:01,7,1,51,Gratuito,API,Muy rápido - ID:61
2025-06-25 03:05:17,9,4,20,Básico,API,Me encanta el dashboard - ID:62
2025-08-03 00:45:43,10,2,29,Pro,Usuarios,Podría mejorar - ID:63
2025-07-22 13:30:55,9,4,19,Empresarial,"Ninguna, Reportes, Usuarios",Excelente servicio - ID:64
2025-08-23 09:07:16,0,2,65,Gratuito,"Ninguna, Usuarios",Soporte lento - ID:65
2025-06-16 19:10:49,10,3,42,Pro,"Usuarios, Exportación, Reportes",Precio justo - ID:66
2025-02-25 21:11:31,7,5,29,Empresarial,API,Soporte lento - ID:67
2025-05-08 11:47:12,8,2,52,Pro,"Dashboard, Exportación",Me encanta el dashboard - ID:68
2025-03-22 22:45:36,7,2,30,Empresarial,"Ninguna, Dashboard, Usuarios",Demasiados bugs - ID:69
2025-06-07 14:14:08,10,3,45,Básico,"Reportes, Dashboard, API",Podría mejorar - ID:70
2025-11-06 13:49:32,10,5,55,Empresarial,"Dashboard, Ninguna",Podría mejorar - ID:71
2025-04-18 01:23:23,8,5,49,Empresarial,"Usuarios, Ninguna, Exportación",Soporte lento - ID:72
2025-07-25 21:59:41,7,3,55,Gratuito,"Usuarios, Exportación, Ninguna",Precio justo - ID:73
2025-08-21 10:48:04,8,3,55,Pro,"Reportes, Exportación",Me encanta el dashboard - ID:74
2025-05-14 17:09:37,10,5,33,Empresarial,"Dashboard, API, Usuarios",Excelente servicio - ID:75
2025-03-01 23:01:59,7,2,27,Empresarial,Dashboard,Soporte lento - ID:76
2025-05-30 18:21:10,8,1,29,Pro,Ninguna,Soporte lento - ID:77
2025-03-16 21:46:46,1,1,55,Gratuito,"API, Ninguna, Exportación",Me encanta el dashboard - ID:78
2025-02-06 06:25:28,8,1,61,Pro,Dashboard,Soporte lento - ID:79
2025-06-19 19:57:17,2,2,58,Gratuito,Dashboard,Muy rápido - ID:80
2025-09-15 19:52:45,7,2,37,Gratuito,Ninguna,Soporte lento - ID:81
2024-12-11 22:54:46,8,4,59,Gratuito,"Usuarios, Reportes, Exportación",La interfaz es confusa - ID:82
2025-07-30 02:32:01,9,5,41,Gratuito,"Ninguna, Reportes",Me encanta el dashboard - ID:83
2025-08-27 10:10:12,5,4,43,Empresarial,"API, Exportación, Ninguna",La interfaz es confusa - ID:84
2025-01-23 21:25:29,8,4,23,Gratuito,"Exportación, Ninguna, Reportes",Muy rápido - ID:85
2025-09-28 17:37:27,9,1,31,Básico,Usuarios,Podría mejorar - ID:86
2025-10-01 15:36:15,10,3,39,Básico,"Ninguna, Dashboard",Muy rápido - ID:87
2025-01-02 19:55:49,8,4,31,Pro,Ninguna,Precio justo - ID:88
2025-10-02 18:02:34,10,5,36,Básico,Ninguna,Demasiados bugs - ID:89
2024-12-17 05:19:24,8,5,20,Pro,Ninguna,Demasiados bugs - ID:90
2025-06-18 15:42:30,1,3,65,Básico,Dashboard,Excelente servicio - ID:91
2025-10-05 05:09:23,0,1,49,Empresarial,"Exportación, API, Reportes",Soporte lento - ID:92
2025-04-09 11:57:23,3,1,52,Gratuito,"Ninguna, Exportación",Muy rápido - ID:93
2025-05-28 20:08:14,10,4,35,Empresarial,"Ninguna, Usuarios, Reportes",Soporte lento - ID:94
2025-06-22 20:03:50,10,4,25,Empresarial,"Usuarios, Reportes",Me encanta el dashboard - ID:95
2025-09-08 13:02:32,1,2,28,Básico,API,Muy rápido - ID:96
2025-07-06 02:46:44,5,2,30,Básico,"Exportación, Reportes",Podría mejorar - ID:97
2025-06-22 08:21:36,10,2,33,Gratuito,API,Excelente servicio - ID:98
2025-02-15 11:25:17,8,4,41,Pro,"Ninguna, Dashboard, Reportes",La interfaz es confusa - ID:99
2025-02-17 02:00:11,2,2,55,Empresarial,"API, Ninguna",La interfaz es confusa - ID:100
2025-11-11 02:05:04,10,2,58,Básico,"Reportes, Ninguna",Podría mejorar - ID:101
2025-09-30 13:13:13,10,1,58,Gratuito,API,La interfaz es confusa - ID:102
2025-11-05 17:34:37,1,2,22,Básico,"Exportación, Ninguna, API",Excelente servicio - ID:103
2025-05-12 21:57:18,3,5,53,Gratuito,"API, Exportación",Podría mejorar - ID:104
2025-06-25 02:53:22,10,4,45,Pro,"Usuarios, API",Me encanta el dashboard - ID:105
2024-12-25 06:42:49,7,4,36,Pro,"Dashboard, Exportación",Excelente servicio - ID:106
2025-11-13 07:25:18,9,1,40,Pro,Usuarios,Podría mejorar - ID:107
2024-12-10 05:59:24,9,2,55,Básico,"Exportación, Ninguna",Podría mejorar - ID:108
2025-05-30 10:47:11,9,2,27,Pro,Usuarios,Muy rápido - ID:109
2025-08-24 01:04:34,7,4,26,Básico,Usuarios,Muy rápido - ID:110
2025-02-21 22:28:26,9,5,64,Empresarial,"Ninguna, Usuarios",La interfaz es confusa - ID:111
