ip_address,user_agent,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10
192.168.1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Purple,2,Yes,Chrome,2,Yes,46-55,4,,
8.8.8.8,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Red,2,Yes,Safari,1,Yes,56+,3,,
172.16.0.1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Yellow,5,No,Firefox,5,No,26-35,3,,
192.168.1.1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Blue,4,Yes,Firefox,2,No,56+,3,,
10.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Yellow,3,No,Safari,1,No,56+,3,,
10.0.0.1,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Blue,4,No,Safari,2,Yes,18-25,2,,
172.16.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Yellow,4,Yes,Safari,1,No,26-35,4,,
172.16.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Red,4,Yes,Safari,3,No,26-35,1,,
172.16.0.1,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Purple,2,Yes,Firefox,5,Yes,56+,1,,
10.0.0.1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Red,4,Yes,Firefox,3,Yes,26-35,5,,
192.168.1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Green,5,Yes,Safari,2,Yes,26-35,2,,
192.168.1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Blue,3,Yes,Edge,2,No,26-35,5,,
172.16.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Green,3,Yes,Edge,1,Yes,56+,5,,
8.8.8.8,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Purple,1,No,Edge,3,No,46-55,3,,
8.8.8.8,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Purple,2,Yes,Edge,3,Yes,56+,4,,
8.8.8.8,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Purple,4,Yes,Edge,4,No,56+,1,,
10.0.0.1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Purple,5,Yes,Chrome,2,No,36-45,1,,
10.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Blue,2,No,Firefox,1,No,18-25,1,,
192.168.1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Blue,3,No,Edge,2,No,18-25,5,,
10.0.0.1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Green,2,No,Chrome,5,No,36-45,1,,
192.168.1.1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Blue,3,No,Firefox,2,No,46-55,3,,
10.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Red,4,No,Chrome,2,Yes,36-45,2,,
10.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Green,4,Yes,Safari,4,Yes,18-25,1,,
