survey_title,survey_description,survey_category,question_text,question_type,option_text,response_value
Correlación Satisfacción,Encuesta de correlación,General,¿Te gustó el producto?,scale,,8
Correlación Satisfacción,Encuesta de correlación,General,¿Recomendarías el producto?,scale,,9
Correlación Satisfacción,Encuesta de correlación,General,¿Te gustó el producto?,scale,,6
Correlación Satisfacción,Encuesta de correlación,General,¿Recomendarías el producto?,scale,,7
Correlación Satisfacción,Encuesta de correlación,General,¿Te gustó el producto?,scale,,2
Correlación Satisfacción,Encuesta de correlación,General,¿Recomendarías el producto?,scale,,3
Correlación Satisfacción,Encuesta de correlación,General,¿Te gustó el producto?,scale,,10
Correlación Satisfacción,Encuesta de correlación,General,¿Recomendarías el producto?,scale,,10
Correlación Satisfacción,Encuesta de correlación,General,¿Te gustó el producto?,scale,,5
Correlación Satisfacción,Encuesta de correlación,General,¿Recomendarías el producto?,scale,,6
Correlación Satisfacción,Encuesta de correlación,General,¿Te gustó el producto?,scale,,4
Correlación Satisfacción,Encuesta de correlación,General,¿Recomendarías el producto?,scale,,5
Correlación Satisfacción,Encuesta de correlación,General,¿Te gustó el producto?,scale,,7
Correlación Satisfacción,Encuesta de correlación,General,¿Recomendarías el producto?,scale,,8
Correlación Satisfacción,Encuesta de correlación,General,¿Te gustó el producto?,scale,,9
Correlación Satisfacción,Encuesta de correlación,General,¿Recomendarías el producto?,scale,,9
